time,exit indicator
1561331760,313.749817
1561333560,313.487671
1561335360,313.081482
1561337160,312.509155
1561338960,312.037842
1561340760,311.552673
1561342560,311.001160
1561344360,310.315002
1561346160,309.606659
1561347960,308.888489
1561349760,308.132843
1561351560,307.341827
1561353360,306.675323
1561355160,306.278992
1561356960,306.005829
1561358760,305.696503
1561360560,305.514496
1561362360,305.617493
1561364160,305.957001
1561365960,306.156830
1561367760,306.331665
1561369560,306.581665
1561371360,306.955505
1561373160,307.394348
1561374960,307.706512
1561376760,307.990509
1561378560,308.282990
1561380360,308.461487
1561382160,308.617493
1561383960,308.763336
1561385760,308.963837
1561387560,309.212341
1561389360,309.369324
1561391160,309.389984
1561392960,309.580658
1561394760,309.882996
1561396560,310.106995
1561398360,310.197998
1561400160,310.266998
1561401960,310.417328
1561403760,310.506165
1561405560,310.451660
1561407360,310.434174
1561409160,310.274506
1561410960,310.202179
1561412760,310.263184
1561414560,310.392822
1561416360,310.489014
1561418160,310.586487
1561419960,310.549164
1561421760,310.468994
1561423560,310.396515
1561425360,310.372986
1561427160,310.357819
1561428960,310.392670
1561430760,310.581329
1561432560,310.826843
1561434360,310.958496
1561436160,311.187164
1561437960,311.484985
1561439760,311.781677
1561441560,312.001343
1561443360,312.242493
1561445160,312.568848
1561446960,312.805511
1561448760,312.979492
1561450560,313.161011
1561452360,313.360840
1561454160,313.493500
1561455960,313.603668
1561457760,313.693512
1561459560,313.837006
1561461360,314.053833
1561463160,314.207336
1561464960,314.206848
1561466760,313.955505
1561468560,313.616333
1561470360,313.293335
1561472160,313.060486
1561473960,312.908661
1561475760,312.708832
1561477560,312.554993
1561479360,312.444183
1561481160,312.376160
1561482960,312.195831
1561484760,311.900848
1561486560,311.593353
1561488360,311.347504
1561490160,311.226013
1561491960,311.122681
1561493760,311.102509
1561495560,311.148163
1561497360,311.159515
1561499160,311.213348
1561500960,311.359497
1561502760,311.540497
1561504560,311.831512
1561506360,312.126678
1561508160,312.491333
1561509960,313.039825
1561511760,313.645508
1561513560,314.115326
1561515360,314.488159
1561517160,314.812164
1561518960,315.266663
1561520760,316.339844
1561522560,317.766174
1561524360,319.368011
1561526160,320.964661
1561527960,322.193176
1561529760,323.310669
1561531560,324.410828
1561533360,325.469177
1561535160,326.474670
1561536960,327.343842
1561538760,328.246002
1561540560,329.317169
