candles read:
from: 2019-Feb-28 04:00:00
to: 2023-Apr-11 16:27:00
difference: 1503d 12:27:00.000000
count: 2160979
duration: 2.194888
began: 2023-Apr-20 10:11:27
it: 0, temperature: 94, curr value: -36.821, best value: 136.169
it: 360, temperature: 13.6452, curr value: 221.433, best value: 268.348
it: 361, temperature: 13.6397, curr value: 216.03, best value: 268.348
it: 362, temperature: 13.6342, curr value: 196.876, best value: 268.348
it: 363, temperature: 13.6288, curr value: 228.336, best value: 268.348
it: 364, temperature: 13.6234, curr value: 221.659, best value: 268.348
it: 365, temperature: 13.618, curr value: 209.846, best value: 268.348
it: 366, temperature: 13.6126, curr value: 246.053, best value: 268.348
it: 367, temperature: 13.6072, curr value: 201.179, best value: 268.348
it: 368, temperature: 13.6019, curr value: 201.179, best value: 268.348
it: 369, temperature: 13.5966, curr value: 204.945, best value: 268.348
it: 370, temperature: 13.5913, curr value: 211.411, best value: 268.348
it: 371, temperature: 13.586, curr value: 196.851, best value: 268.348
it: 372, temperature: 13.5807, curr value: 213.61, best value: 268.348
it: 373, temperature: 13.5755, curr value: 229.289, best value: 268.348
it: 374, temperature: 13.5702, curr value: 236.869, best value: 268.348
it: 375, temperature: 13.565, curr value: 236.869, best value: 268.348
it: 376, temperature: 13.5598, curr value: 236.869, best value: 268.348
it: 377, temperature: 13.5546, curr value: 220.527, best value: 268.348
it: 378, temperature: 13.5495, curr value: 190.027, best value: 268.348
it: 379, temperature: 13.5443, curr value: 199.793, best value: 268.348
it: 380, temperature: 13.5392, curr value: 214.506, best value: 268.348
it: 381, temperature: 13.5341, curr value: 214.506, best value: 268.348
it: 382, temperature: 13.529, curr value: 214.506, best value: 268.348
it: 383, temperature: 13.5239, curr value: 220.825, best value: 268.348
it: 384, temperature: 13.5189, curr value: 223.024, best value: 268.348
it: 385, temperature: 13.5138, curr value: 224.106, best value: 268.348
it: 386, temperature: 13.5088, curr value: 224.106, best value: 268.348
it: 387, temperature: 13.5038, curr value: 224.201, best value: 268.348
it: 388, temperature: 13.4988, curr value: 224.201, best value: 268.348
it: 389, temperature: 13.4938, curr value: 224.201, best value: 268.348
it: 390, temperature: 13.4889, curr value: 224.201, best value: 268.348
it: 391, temperature: 13.4839, curr value: 223.176, best value: 268.348
it: 392, temperature: 13.479, curr value: 232.241, best value: 268.348
it: 393, temperature: 13.4741, curr value: 232.241, best value: 268.348
it: 394, temperature: 13.4692, curr value: 232.19, best value: 268.348
it: 395, temperature: 13.4643, curr value: 224.106, best value: 268.348
it: 396, temperature: 13.4595, curr value: 224.106, best value: 268.348
it: 397, temperature: 13.4546, curr value: 220.083, best value: 268.348
it: 398, temperature: 13.4498, curr value: 223.176, best value: 268.348
it: 399, temperature: 13.445, curr value: 224.201, best value: 268.348
it: 400, temperature: 13.4402, curr value: 232.395, best value: 268.348
it: 401, temperature: 13.4354, curr value: 184.019, best value: 268.348
it: 402, temperature: 13.4306, curr value: 153.801, best value: 268.348
it: 403, temperature: 13.4259, curr value: 155.231, best value: 268.348
it: 404, temperature: 13.4211, curr value: 166.84, best value: 268.348
it: 405, temperature: 13.4164, curr value: 164.426, best value: 268.348
it: 406, temperature: 13.4117, curr value: 156.758, best value: 268.348
it: 407, temperature: 13.407, curr value: 131.89, best value: 268.348
it: 408, temperature: 13.4023, curr value: 158.597, best value: 268.348
it: 409, temperature: 13.3976, curr value: 158.905, best value: 268.348
it: 410, temperature: 13.393, curr value: 163.225, best value: 268.348
it: 411, temperature: 13.3884, curr value: 152.581, best value: 268.348
it: 412, temperature: 13.3837, curr value: 149.768, best value: 268.348
it: 413, temperature: 13.3791, curr value: 134.512, best value: 268.348
it: 414, temperature: 13.3745, curr value: 169.967, best value: 268.348
it: 415, temperature: 13.37, curr value: 217.87, best value: 268.348
