candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.430015
began: 2023-Apr-20 08:09:05
it: 361, temperature: 14.5103, curr value: 95.9633, best value: 126.424
it: 362, temperature: 14.5045, curr value: 98.5916, best value: 126.424
it: 363, temperature: 14.4987, curr value: 107.48, best value: 126.424
it: 364, temperature: 14.493, curr value: 92.2091, best value: 126.424
it: 365, temperature: 14.4872, curr value: 107.48, best value: 126.424
it: 366, temperature: 14.4815, curr value: 115.23, best value: 126.424
it: 367, temperature: 14.4758, curr value: 101.299, best value: 126.424
it: 368, temperature: 14.4701, curr value: 104, best value: 126.424
it: 369, temperature: 14.4644, curr value: 117.241, best value: 126.424
it: 370, temperature: 14.4588, curr value: 117.241, best value: 126.424
it: 371, temperature: 14.4532, curr value: 115.23, best value: 126.424
it: 372, temperature: 14.4476, curr value: 119.572, best value: 126.424
it: 373, temperature: 14.442, curr value: 113.799, best value: 126.424
it: 374, temperature: 14.4364, curr value: 113.799, best value: 126.424
it: 375, temperature: 14.4309, curr value: 115.23, best value: 126.424
it: 376, temperature: 14.4253, curr value: 97.1963, best value: 126.424
it: 377, temperature: 14.4198, curr value: 97.1963, best value: 126.424
it: 378, temperature: 14.4143, curr value: 66.554, best value: 126.424
it: 379, temperature: 14.4089, curr value: 83.2529, best value: 126.424
it: 380, temperature: 14.4034, curr value: 114.128, best value: 126.424
it: 381, temperature: 14.398, curr value: 109.662, best value: 126.424
it: 382, temperature: 14.3926, curr value: 116.085, best value: 126.424
it: 383, temperature: 14.3872, curr value: 116.085, best value: 126.424
it: 384, temperature: 14.3818, curr value: 116.085, best value: 126.424
it: 385, temperature: 14.3764, curr value: 71.5192, best value: 126.424
it: 386, temperature: 14.3711, curr value: 56.1422, best value: 126.424
it: 387, temperature: 14.3657, curr value: 34.6616, best value: 126.424
it: 388, temperature: 14.3604, curr value: 38.7477, best value: 126.424
it: 389, temperature: 14.3551, curr value: 58.0899, best value: 126.424
it: 390, temperature: 14.3499, curr value: 58.3323, best value: 126.424
it: 391, temperature: 14.3446, curr value: 58.0217, best value: 126.424
it: 392, temperature: 14.3394, curr value: 109.388, best value: 126.424
it: 393, temperature: 14.3341, curr value: 109.388, best value: 126.424
it: 394, temperature: 14.3289, curr value: 109.388, best value: 126.424
it: 395, temperature: 14.3237, curr value: 119.602, best value: 126.424
it: 396, temperature: 14.3186, curr value: 69.8556, best value: 126.424
it: 397, temperature: 14.3134, curr value: 65.0196, best value: 126.424
it: 398, temperature: 14.3083, curr value: 59.7295, best value: 126.424
it: 399, temperature: 14.3032, curr value: 47.453, best value: 126.424
it: 400, temperature: 14.298, curr value: 34.7921, best value: 126.424
it: 401, temperature: 14.293, curr value: 64.5149, best value: 126.424
it: 402, temperature: 14.2879, curr value: 73.4871, best value: 126.424
it: 403, temperature: 14.2828, curr value: 77.473, best value: 126.424
it: 404, temperature: 14.2778, curr value: 95.6335, best value: 126.424
it: 405, temperature: 14.2728, curr value: 85.7284, best value: 126.424
it: 406, temperature: 14.2678, curr value: 76.6302, best value: 126.424
it: 407, temperature: 14.2628, curr value: 69.4223, best value: 126.424
it: 408, temperature: 14.2578, curr value: 69.9919, best value: 126.424
it: 409, temperature: 14.2528, curr value: 81.2533, best value: 126.424
