time,ema(12),entry level 1,entry level 2,entry level 3,entry level 4,ema(16)
1610067600,39106.2,37541.9,36368.7,35195.5,33240.2,39037
1610069400,39003.2,37443.1,36273,35102.9,33152.7,38966.4
1610071200,38860.3,37305.9,36140.1,34974.3,33031.3,38861.5
1610073000,38626.2,37081.1,35922.3,34763.5,32832.2,38682.3
1610074800,38485.6,36946.1,35791.6,34637,32712.7,38568.1
1610076600,38447.6,36909.7,35756.2,34602.8,32680.4,38529.4
1610078400,38455.4,36917.2,35763.5,34609.9,32687.1,38525.7
1610080200,38492.1,36952.4,35797.6,34642.9,32718.3,38545.5
1610082000,38491.4,36951.7,35797,34642.3,32717.7,38538.7
1610083800,38450.4,36912.4,35758.9,34605.4,32682.8,38501.8
1610085600,38408.7,36872.3,35720.1,34567.8,32647.4,38463.8
1610087400,38428.4,36891.2,35738.4,34585.5,32664.1,38472.4
1610089200,38465.1,36926.5,35772.5,34618.6,32695.3,38495.3
1610091000,38536.3,36994.8,35838.7,34682.6,32755.8,38546.2
1610092800,38578.2,37035,35877.7,34720.4,32791.4,38577.1
1610094600,38591.9,37048.2,35890.5,34732.7,32803.1,38587.7
1610096400,38595.4,37051.6,35893.7,34735.9,32806.1,38590.9
1610098200,38662.9,37116.4,35956.5,34796.6,32863.5,38643
1610100000,38809.7,37257.3,36093,34928.7,32988.3,38757.6
1610101800,39044.7,37482.9,36311.6,35140.2,33188,38943.4
1610103600,39334.8,37761.4,36581.3,35401.3,33434.5,39177.2
1610105400,39601.9,38017.8,36829.8,35641.7,33661.6,39400
1610107200,39878.4,38283.2,37086.9,35890.5,33896.6,39635.2
1610109000,40102.7,38498.6,37295.5,36092.4,34087.3,39835.3
1610110800,40269.2,38658.4,37450.4,36242.3,34228.8,39994.1
1610112600,40436.6,38819.1,37606.1,36393,34371.1,40154.5
1610114400,40563.7,38941.2,37724.3,36507.3,34479.2,40284.9
1610116200,40678.2,39051.1,37830.8,36610.4,34576.5,40405.3
1610118000,40727,39097.9,37876.1,36654.3,34618,40474.7
1610119800,40693.1,39065.4,37844.6,36623.8,34589.1,40478.4
1610121600,40721.8,39092.9,37871.3,36649.6,34613.5,40525.6
1610123400,40808.2,39175.9,37951.6,36727.4,34687,40614.8
1610125200,40881.7,39246.5,38020,36793.6,34749.5,40693.8
1610127000,40920.7,39283.9,38056.3,36828.7,34782.6,40745.7
1610128800,40875.9,39240.8,38014.6,36788.3,34744.5,40732
1610130600,40774.7,39143.7,37920.5,36697.2,34658.5,40671.6
1610132400,40680.6,39053.4,37832.9,36612.5,34578.5,40611.7
1610134200,40633,39007.7,37788.7,36569.7,34538.1,40583.5
1610136000,40528.6,38907.5,37691.6,36475.8,34449.3,40509.4
1610137800,40349.3,38735.3,37524.8,36314.3,34296.9,40374.5
1610139600,40191.8,38584.2,37378.4,36172.7,34163.1,40251.2
1610141400,40136.7,38531.3,37327.2,36123.1,34116.2,40202.1
1610143200,40121.5,38516.6,37313,36109.3,34103.3,40182.7
1610145000,40167.2,38560.5,37355.5,36150.4,34142.1,40210.4
1610146800,40251,38641,37433.4,36225.9,34213.4,40269.5
1610148600,40322.8,38709.9,37500.2,36290.5,34274.4,40322.2
