candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.619039
began: 2023-Apr-19 21:14:50
it: 343, temperature: 10.5253, curr value: 749.789, best value: 754.849
it: 344, temperature: 10.5209, curr value: 749.789, best value: 754.849
it: 345, temperature: 10.5164, curr value: 751.215, best value: 754.849
it: 346, temperature: 10.512, curr value: 751.215, best value: 754.849
it: 347, temperature: 10.5076, curr value: 751.215, best value: 754.849
it: 348, temperature: 10.5032, curr value: 751.445, best value: 754.849
it: 349, temperature: 10.4988, curr value: 746.227, best value: 754.849
it: 350, temperature: 10.4944, curr value: 751.215, best value: 754.849
it: 351, temperature: 10.4901, curr value: 751.215, best value: 754.849
it: 352, temperature: 10.4857, curr value: 751.215, best value: 754.849
it: 353, temperature: 10.4814, curr value: 751.445, best value: 754.849
it: 354, temperature: 10.4771, curr value: 730.81, best value: 754.849
it: 355, temperature: 10.4728, curr value: 751.445, best value: 754.849
it: 356, temperature: 10.4686, curr value: 751.215, best value: 754.849
it: 357, temperature: 10.4643, curr value: 751.445, best value: 754.849
it: 358, temperature: 10.4601, curr value: 746.227, best value: 754.849
it: 359, temperature: 10.4558, curr value: 751.215, best value: 754.849
it: 360, temperature: 10.4516, curr value: 741.19, best value: 754.849
it: 361, temperature: 10.4474, curr value: 749.084, best value: 754.849
it: 362, temperature: 10.4433, curr value: 754.849, best value: 754.849
it: 363, temperature: 10.4391, curr value: 754.849, best value: 754.849
it: 364, temperature: 10.4349, curr value: 754.849, best value: 754.849
it: 365, temperature: 10.4308, curr value: 754.849, best value: 754.849
it: 366, temperature: 10.4267, curr value: 754.849, best value: 754.849
it: 367, temperature: 10.4226, curr value: 754.849, best value: 754.849
it: 368, temperature: 10.4185, curr value: 749.084, best value: 754.849
it: 369, temperature: 10.4144, curr value: 749.084, best value: 754.849
it: 370, temperature: 10.4103, curr value: 749.084, best value: 754.849
it: 371, temperature: 10.4063, curr value: 749.084, best value: 754.849
it: 372, temperature: 10.4023, curr value: 749.084, best value: 754.849
it: 373, temperature: 10.3982, curr value: 749.084, best value: 754.849
it: 374, temperature: 10.3942, curr value: 749.084, best value: 754.849
it: 375, temperature: 10.3902, curr value: 741.013, best value: 754.849
it: 376, temperature: 10.3862, curr value: 730.727, best value: 754.849
it: 377, temperature: 10.3823, curr value: 741.013, best value: 754.849
it: 378, temperature: 10.3783, curr value: 741.013, best value: 754.849
it: 379, temperature: 10.3744, curr value: 741.013, best value: 754.849
it: 380, temperature: 10.3705, curr value: 741.013, best value: 754.849
it: 381, temperature: 10.3665, curr value: 749.789, best value: 754.849
it: 382, temperature: 10.3626, curr value: 751.215, best value: 754.849
it: 383, temperature: 10.3588, curr value: 751.215, best value: 754.849
it: 384, temperature: 10.3549, curr value: 751.215, best value: 754.849
it: 385, temperature: 10.351, curr value: 746.227, best value: 754.849
it: 386, temperature: 10.3472, curr value: 746.227, best value: 754.849
it: 387, temperature: 10.3433, curr value: 746.227, best value: 754.849
it: 388, temperature: 10.3395, curr value: 749.789, best value: 754.849
it: 389, temperature: 10.3357, curr value: 751.215, best value: 754.849
it: 390, temperature: 10.3319, curr value: 746.227, best value: 754.849
