time,sma(1),entry level 1,entry level 2,entry level 3,entry level 4,sma(1)
1579122000,8789.06,8173.83,7910.16,7470.7,7031.25,8789.06
1579125600,8817.74,8200.49,7935.96,7495.07,7054.19,8817.74
1579129200,8839.99,8221.19,7955.99,7513.99,7071.99,8839.99
1579132800,8837.62,8218.99,7953.86,7511.98,7070.1,8837.62
1579136400,8788.28,8173.1,7909.45,7470.04,7030.62,8788.28
1579140000,8702.59,8093.41,7832.33,7397.2,6962.07,8702.59
1579143600,8654.99,8049.14,7789.49,7356.74,6923.99,8654.99
1579147200,8633.75,8029.39,7770.38,7338.69,6907,8633.75
1579150800,8659.2,8053.05,7793.28,7360.32,6927.36,8659.2
1579154400,8682.24,8074.48,7814.02,7379.9,6945.79,8682.24
1579158000,8706.03,8096.61,7835.43,7400.13,6964.82,8706.03
1579161600,8694.83,8086.19,7825.35,7390.61,6955.87,8694.83
1579165200,8683.11,8075.29,7814.8,7380.64,6946.49,8683.11
1579168800,8653.32,8047.59,7787.99,7355.32,6922.65,8653.32
1579172400,8641.72,8036.8,7777.55,7345.46,6913.37,8641.72
1579176000,8684.07,8076.18,7815.66,7381.46,6947.25,8684.07
1579179600,8731.54,8120.33,7858.39,7421.81,6985.23,8731.54
1579183200,8700.57,8091.53,7830.52,7395.49,6960.46,8700.57
1579186800,8681.08,8073.4,7812.97,7378.92,6944.86,8681.08
1579190400,8697.48,8088.66,7827.73,7392.86,6957.98,8697.48
1579194000,8679.26,8071.71,7811.33,7377.37,6943.4,8679.26
1579197600,8677.14,8069.74,7809.43,7375.57,6941.71,8677.14
1579201200,8680.92,8073.26,7812.83,7378.78,6944.74,8680.92
1579204800,8695.5,8086.82,7825.95,7391.18,6956.4,8695.5
1579208400,8722.25,8111.69,7850.03,7413.91,6977.8,8722.25
1579212000,8715.77,8105.67,7844.2,7408.41,6972.62,8715.77
1579215600,8711.23,8101.44,7840.1,7404.54,6968.98,8711.23
1579219200,8725.19,8114.42,7852.67,7416.41,6980.15,8725.19
1579222800,8706.72,8097.25,7836.05,7400.71,6965.38,8706.72
1579226400,8711.14,8101.36,7840.03,7404.47,6968.91,8711.14
1579230000,8748.51,8136.11,7873.65,7436.23,6998.8,8748.51
1579233600,8783.79,8168.93,7905.41,7466.22,7027.03,8783.79
1579237200,8794.4,8178.79,7914.96,7475.24,7035.52,8794.4
1579240800,8848.62,8229.21,7963.76,7521.32,7078.89,8848.62
1579244400,8896.68,8273.91,8007.01,7562.17,7117.34,8896.68
1579248000,8897.51,8274.68,8007.75,7562.88,7118,8897.51
1579251600,8940.66,8314.82,8046.6,7599.56,7152.53,8940.66
1579255200,8951.82,8325.19,8056.64,7609.05,7161.46,8951.82
